Mahasiswa Ke;math;baca;tulis
1;72;72;74
2;69;90;88
3;90;95;93
4;47;57;44
5;76;78;75
6;71;83;78
7;88;95;92
8;40;53;39
9;64;64;67
10;38;60;50
11;58;54;52
12;40;52;43
13;65;81;73
14;78;72;70
15;50;53;58
16;69;75;78
17;88;89;86
18;18;32;28
19;46;42;46
20;54;58;61
21;66;69;63
22;65;75;70
23;44;54;53
24;69;73;73
25;74;71;80
26;73;74;72
27;69;54;55
28;67;69;75
29;70;70;65
30;62;70;75
31;69;74;74
32;63;65;61
33;56;72;65
34;40;42;38
35;97;87;82
36;81;81;79
37;74;81;83
38;50;64;59
39;75;90;88
40;57;56;57

